Fnew,Mnew,Err,Accuracy
10.0,2.0,31.0,69.0
10.0,2.0,33.0,67.0
9.0,2.0,27.0,73.0
10.0,2.0,31.0,69.0
9.0,2.0,30.0,70.0
12.0,2.0,33.0,67.0
7.0,2.0,37.0,63.0
11.0,3.0,31.0,69.0
8.0,2.0,31.0,69.0
9.0,2.0,30.0,70.0
10.0,2.0,30.0,70.0
12.0,2.0,32.0,68.0
13.0,2.0,35.0,65.0
7.0,2.0,30.0,70.0
12.0,3.0,30.0,70.0
9.0,2.0,35.0,65.0
10.0,2.0,32.0,68.0
9.0,2.0,27.0,73.0
9.0,2.0,27.0,73.0
10.0,2.0,28.0,72.0
